cast_popularity,major,actor_2_name,us,vote_average,actor_1_name,revenue,budget_binned,vote_count_binned,director_name,vote_average_binned,revenue_binned,macro_genre,vote_count,budget,actor_3_name,genres,title,original_language,cast_popularity_binned
22.368058,1,Michael Caine,1,6.0,Nicolas Cage,12482775,avg,ok,Gore Verbinski,ok,avg,drama,289,20000000,Hope Davis,Comedy|Drama,The Weather Man,en,"(-0.176, 58.674]"
24.364773000000007,0,Ving Rhames,1,6.1,Wesley Snipes,12398628,avg,bad,Walter Hill,ok,avg,action,139,20000000,Peter Falk,Action|Adventure|Drama|Thriller,Undisputed,en,"(-0.176, 58.674]"
10.727489,1,Aidan Gillen,1,5.7,John Cena,17280326,avg,ok,Renny Harlin,ok,avg,action,220,20000000,Ashley Scott,Action|Adventure|Drama|Thriller,12 Rounds,en,"(-0.176, 58.674]"
24.880117,0,Chloë Grace Moretz,1,6.7,Kodi Smit-McPhee,24145613,avg,ok,Matt Reeves,ok,avg,dark,641,20000000,Richard Jenkins,Drama|Horror|Mystery,Let Me In,en,"(-0.176, 58.674]"
64.47355800000001,0,Chiwetel Ejiofor,1,5.6,Casey Affleck,12639297,avg,ok,John Hillcoat,ok,avg,dark,797,20000000,Woody Harrelson,Action|Thriller,Triple 9,en,"(58.674, 117.348]"
56.042520999999994,0,Kirstie Alley,1,7.3,Woody Allen,10686841,avg,bad,Woody Allen,great,avg,drama,187,20000000,Billy Crystal,Comedy|Drama,Deconstructing Harry,en,"(-0.176, 58.674]"
50.785108,0,Sienna Miller,1,6.3,Bradley Cooper,36606743,avg,ok,John Wells,ok,avg,drama,950,20000000,Lily James,Drama,Burnt,en,"(-0.176, 58.674]"
18.236763,0,Garrett Hedlund,1,6.5,Kevin Bacon,16974459,avg,ok,James Wan,ok,avg,dark,297,20000000,Kelly Preston,Action|Crime|Drama|Thriller,Death Sentence,en,"(-0.176, 58.674]"
15.885202000000001,0,Lucy Liu,1,4.7,Cedric the Entertainer,10337477,avg,bad,Les Mayfield,bad,avg,dark,78,20000000,Nicollette Sheridan,Action|Comedy|Crime,Code Name: The Cleaner,en,"(-0.176, 58.674]"
21.214469,1,Toni Collette,1,6.4,Nia Vardalos,11341016,avg,bad,Michael Lembeck,ok,avg,light,24,20000000,David Duchovny,Comedy,Connie and Carla,en,"(-0.176, 58.674]"
3.9199690000000005,1,John McMartin,1,6.5,Shirley MacLaine,20000000,low,bad,Bob Fosse,ok,avg,light,15,8000000,Ricardo Montalban,Comedy|Drama|Music|Romance,Sweet Charity,en,"(-0.176, 58.674]"
49.861905000000014,1,Josh Brolin,1,6.5,Joaquin Phoenix,11110975,avg,ok,Paul Thomas Anderson,ok,avg,dark,833,20000000,Owen Wilson,Comedy|Romance|Crime|Drama|Mystery,Inherent Vice,en,"(-0.176, 58.674]"
6.049108999999999,0,Josh Peck,1,5.9,Josh Holloway,16549477,avg,bad,Benson Lee,ok,avg,drama,88,20000000,Chris Brown,Music|Drama,Battle of the Year,en,"(-0.176, 58.674]"
34.509826,0,Kelsey Grammer,1,4.1,Kevin Farley,7000000,avg,bad,David Zucker,bad,low,light,20,20000000,Leslie Nielsen,Comedy|Fantasy,An American Carol,en,"(-0.176, 58.674]"
55.10859099999999,0,Mel Gibson,1,5.3,Danny Trejo,15008161,avg,ok,Robert Rodriguez,ok,avg,dark,631,12000000,Amber Heard,Action|Crime|Thriller,Machete Kills,en,"(-0.176, 58.674]"
22.273565000000012,0,Emily Watson,1,7.0,Jakob Salvati,6420319,avg,bad,Alejandro Monteverde,ok,low,drama,185,20000000,Cary-Hiroyuki Tagawa,Comedy|Drama|War,Little Boy,en,"(-0.176, 58.674]"
33.70485,0,Viggo Mortensen,0,6.2,Keira Knightley,27462041,avg,ok,David Cronenberg,ok,avg,drama,571,15000000,Michael Fassbender,Drama|Thriller,A Dangerous Method,en,"(-0.176, 58.674]"
52.57773699999999,1,Winona Ryder,1,6.8,Keanu Reeves,7659918,low,ok,Richard Linklater,ok,low,dark,532,8700000,Woody Harrelson,Animation|Science Fiction|Thriller,A Scanner Darkly,en,"(-0.176, 58.674]"
18.532293000000003,0,Tara Reid,1,3.1,Christian Slater,10442808,avg,bad,Uwe Boll,bad,avg,dark,173,20000000,Stephen Dorff,Action|Fantasy|Horror|Thriller,Alone in the Dark,en,"(-0.176, 58.674]"
11.952303999999991,0,Aly Michalka,1,5.4,Vanessa Hudgens,5210988,avg,bad,Todd Graff,ok,low,light,126,20000000,Gaelan Connell,Comedy|Drama|Family|Music,Bandslam,en,"(-0.176, 58.674]"
